Wavelength,Albedo
0.2771311306,0.0010387312
0.2775006388,0.0010480934
0.2778706396,0.0010638464
0.2782411338,0.0010775016
0.278612122,0.0010863844
0.2789836048,0.001102465
0.279355583,0.0011175562
0.2797280571,0.0011239955
0.2801010278,0.0011424902
0.2804744958,0.0011729432
0.2808484618,0.0011869292
0.2812229265,0.0011971016
0.2815978904,0.001228425
0.2819733542,0.0012486172
0.2823493187,0.0012587523
0.2827257844,0.0012806225
0.2831027522,0.0012935295
0.2834802225,0.0012983226
0.2838581961,0.0013413666
0.2842366737,0.0013780546
0.2846156559,0.0013941909
0.2849951435,0.0014168118
0.285375137,0.0014557184
0.2857556372,0.0014769784
0.2861366447,0.0014958178
0.2865181602,0.001525944
0.2869001845,0.0015598503
0.287282718,0.0015885825
0.2876657617,0.0016342138
0.288049316,0.0016843403
0.2884333818,0.0017201203
0.2888179596,0.0017543242
0.2892030502,0.0017988561
0.2895886543,0.0018450861
0.2899747725,0.0018869249
0.2903614055,0.0019264518
0.2907485541,0.001973658
0.2911362188,0.0020241934
0.2915244004,0.002090623
0.2919130996,0.0021641426
0.2923023171,0.0022272108
0.2926920535,0.0022662715
0.2930823096,0.0023345826
0.293473086,0.0024223731
0.2938643834,0.0025089866
0.2942562026,0.0025596497
0.2946485442,0.002615358
0.295041409,0.0026915249
0.2954347975,0.0028194212
0.2958287106,0.0029165253
0.2962231488,0.0030295545
0.296618113,0.0031071179
0.2970136039,0.0031972975
0.297409622,0.0033390864
0.2978061682,0.0034959545
0.298203243,0.003623326
0.2986008474,0.0037609659
0.2989989818,0.003870669
0.2993976471,0.0041196865
0.299796844,0.0043645613
0.3001965731,0.0045540074
0.3005968352,0.0047793013
0.300997631,0.0051646597
0.3013989612,0.0056804473
0.3018008265,0.0060304819
0.3022032276,0.0063788477
0.3026061652,0.0070951978
0.3030096401,0.0082278587
0.3034136529,0.0091832757
0.3038182045,0.0098137572
0.3042232954,0.010457121
0.3046289265,0.012183239
0.3050350984,0.014999812
0.3054418119,0.017725447
0.3058490676,0.018708307
0.3062568664,0.019737476
0.3066652088,0.022541071
0.3070740958,0.027439554
0.3074835279,0.033830293
0.307893506,0.036385636
0.3083040306,0.037766413
0.3087151027,0.041551458
0.3091267228,0.045024607
0.3095388918,0.05648008
0.3099516103,0.065107941
0.3103648791,0.065737488
0.3107786989,0.072343005
0.3111930705,0.076498762
0.3116079946,0.079225325
0.312023472,0.094708626
0.3124395033,0.10521689
0.3128560893,0.11475046
0.3132732307,0.11537784
0.3136909284,0.11077819
0.3141091829,0.12908495
0.3145279952,0.15313468
0.3149473658,0.159304
0.3153672957,0.15444162
0.3157877854,0.14945339
0.3162088358,0.17692324
0.3166304475,0.19536636
0.3170526215,0.19263769
0.3174753583,0.18948634
0.3178986588,0.19043169
0.3183225237,0.21728821
0.3187469537,0.24233976
0.3191719496,0.25306404
0.3195975122,0.22226558
0.3200236422,0.21857455
0.3204503404,0.24432797
0.3208776076,0.27607108
0.3213054444,0.29260487
0.3217338516,0.29029237
0.3221628301,0.24779655
0.3225923805,0.25625574
0.3230225037,0.27171022
0.3234532004,0.31223908
0.3238844713,0.33172196
0.3243163173,0.31844673
0.324748739,0.2949391
0.3251817373,0.28701451
0.325615313,0.30014488
0.3260494667,0.32615471
0.3264841994,0.34443511
0.3269195116,0.34822017
0.3273554043,0.32997738
0.3277918782,0.31674127
0.328228934,0.30782091
0.3286665726,0.33836106
0.3291047947,0.35661313
0.3295436011,0.3620066
0.3299829926,0.36077289
0.3304229699,0.33794367
0.3308635338,0.33954595
0.3313046852,0.33002705
0.3317464248,0.3503554
0.3321887534,0.36290841
0.3326316717,0.36749416
0.3330751806,0.36251387
0.3335192808,0.35357308
0.3339639732,0.34223131
0.3344092585,0.35649575
0.3348551375,0.36365132
0.335301611,0.36863651
0.3357486799,0.36955369
0.3361963448,0.36741568
0.3366446066,0.36063424
0.337093466,0.35509846
0.337542924,0.35082462
0.3379929812,0.36050974
0.3384436385,0.36591942
0.3388948967,0.36746482
0.3393467566,0.36656209
0.3397992189,0.36491011
0.3402522845,0.35739398
0.3407059543,0.36101509
0.3411602289,0.36439344
0.3416151092,0.36560879
0.342070596,0.36533343
0.3425266901,0.36509345
0.3429833924,0.36362832
0.3434407036,0.3618116
0.3438986245,0.35751251
0.344357156,0.35620045
0.3448162989,0.35951835
0.3452760539,0.36098016
0.345736422,0.36099443
0.3461974039,0.36109648
0.3466590004,0.36079461
0.3471212124,0.35912949
0.3475840407,0.35820779
0.3480474861,0.35884332
0.3485115494,0.3588247
0.3489762315,0.35845923
0.3494415331,0.35779714
0.3499074552,0.35721248
0.3503739985,0.35665544
0.3508411638,0.35604917
0.351308952,0.3541261
0.3517773639,0.35316851
0.3522464004,0.35360545
0.3527160623,0.35338613
0.3531863504,0.35312229
0.3536572655,0.35268282
0.3541288085,0.35219013
0.3546009803,0.3515551
0.3550737816,0.35076137
0.3555472133,0.35019557
0.3560212762,0.34961858
0.3564959713,0.34894827
0.3569712992,0.34812778
0.357447261,0.34741039
0.3579238573,0.3466223
